pwsid,pws_name,pws_activity_code,pws_deactivation_date,pws_type_code,owner_type_code,population_served_count
TX0000001,COLORADO RIVER MUNICIPAL WATER DISTRICT,N,2025-07-25 00:00:00,CWS,L,0
TX0010001,CITY OF PALESTINE,A,,CWS,L,31272
TX0010002,CITY OF FRANKSTON DOWNTOWN PLANT,A,,CWS,L,1896
TX0010003,LAKEVIEW METHODIST CONFERENCE CTR,A,,TNCWS,P,1200
TX0010004,FRANKSTON RURAL WSC,A,,CWS,L,1890
TX0010005,CITY OF ELKHART,A,,CWS,L,2871
TX0010006,FRANKSTON RURAL WSC FRANKSTON,N,2009-12-15 00:00:00,CWS,P,519
TX0010007,DOGWOOD SPRINGS WSC PLANT 1,A,,CWS,L,642
TX0010008,EDGEWATER SHORES WATER SUPPLY,I,1993-11-01 00:00:00,CWS,P,33
TX0010009,UPPER NECHES RIVER MUN WATER AUTHORITY,I,1993-11-01 00:00:00,TNCWS,L,25
TX0010015,B B S WSC,A,,CWS,L,1455
TX0010018,B C Y WSC,A,,CWS,L,3012
TX0010019,CAYUGA WSC,N,2009-12-15 00:00:00,CWS,L,0
TX0010020,FOUR PINES WSC,A,,CWS,L,3603
TX0010021,LONE PINE WSC,A,,CWS,L,1026
TX0010023,MONTALBA WSC,A,,CWS,L,561
TX0010024,NECHES WSC,A,,CWS,L,2295
TX0010026,PLEASANT SPRINGS WSC,A,,CWS,L,1038
TX0010028,SLOCUM WSC,A,,CWS,L,3120
TX0010029,TUCKER WSC,A,,CWS,L,1578
TX0010030,WALSTON SPRINGS WSC,A,,CWS,L,4221
TX0010031,TDCJ COFFIELD UNIT,A,,CWS,S,7965
TX0010032,FRANKSTON RURAL WSC NORTHEAST PLNT,N,2009-12-15 00:00:00,CWS,P,87
TX0010036,BRUSHY CREEK WSC,A,,CWS,L,4866
TX0010037,CAMP BETTE PEROT,A,,TNCWS,P,225
TX0010038,DOGWOOD HILLS NORTH,A,,CWS,P,231
TX0010039,DOGWOOD HILLS EAST,A,,CWS,P,237
TX0010040,CAMP WILDERNESS NO 1,I,1985-06-01 00:00:00,TNCWS,P,500
TX0010042,AZLEWAY PINE MOUNTAIN,N,2010-09-24 00:00:00,CWS,P,0
TX0010043,ANDERSON COUNTY FWSD 1,I,1999-03-01 00:00:00,NTNCWS,L,325
TX0010044,TDCJ BETO UNIT,A,,CWS,S,8148
TX0010045,ALCOA-ANDERSON CO. WORKS,I,1989-12-01 00:00:00,TNCWS,P,56
TX0010046,ANDERSON COUNTY CEDAR CREEK WSC,A,,CWS,L,1386
TX0010047,NORWOOD WSC,A,,CWS,L,1368
TX0010048,CAMP WILDERNESS NO 2,I,1985-06-01 00:00:00,TNCWS,P,200
TX0010049,TDCJ POWLEDGE UNIT,N,2009-08-15 00:00:00,CWS,S,0
TX0010050,CRICKETT HOLLOW MOBILE HOME PA,I,1991-06-01 00:00:00,CWS,,27
TX0010051,WESTERN COMPANY,I,1990-09-01 00:00:00,CWS,P,17
TX0010052,OAK FOREST MHP,N,2009-12-15 00:00:00,CWS,P,69
TX0010053,WALMART DISTRIBUTION CENTER,A,,NTNCWS,P,900
TX0010054,LAKE IONI WATER SUPPLY,A,,CWS,P,195
TX0010055,LANDING AT HICKORY RIDGE,A,,CWS,P,87
TX0010056,BASSETT ROAD MOBILE HOME PARK,I,2001-01-01 00:00:00,CWS,P,99
TX0010057,SANDY HILLS MOBILE HOME PARK,I,1998-07-01 00:00:00,CWS,P,30
TX0010058,CITY OF FRANKSTON NORTH PLANT 2,N,2009-12-15 00:00:00,CWS,L,0
TX0010059,DOGWOOD SPRINGS WSC PLANT 2,N,2012-11-16 00:00:00,CWS,L,0
TX0010060,TAMPICO BOTTLING,N,2018-06-15 00:00:00,TNCWS,P,0
TX0010061,SANDERSON FARMS PROCESSING DIVISION PALE,A,,NTNCWS,P,1000
TX0010062,TDCJ WATER HAULER R II FACILITIES MAINTE,A,,TNCWS,S,25
TX0020001,CITY OF ANDREWS,A,,CWS,L,14109
TX0020003,G P M GAS CORP ANDREWS PLANT,I,1994-11-01 00:00:00,NTNCWS,P,50
TX0020004,DCP MIDSTREAM FULLERTON PLANT,N,2018-01-11 00:00:00,NTNCWS,P,0
TX0020005,STROOPE PACKING COMPANY 818,I,1978-11-01 00:00:00,NTNCWS,P,26
TX0020006,EL PASO NATURAL GAS CO-FULLERTON,I,1980-03-01 00:00:00,CWS,P,25
